S.No,Scenario ID,Title,User Question,Follow-Up 1,Follow-Up 1 Scenario,Follow-Up 2,Follow-Up 2 Scenario,Follow-Up 3,Follow-Up 3 Scenario
1,deposit_overview,Deposit Portfolio Overview,"Show me the total deposit trend over the past 12 months. How is our deposit base growing?",Branch-level performance,branch_performance,Net interest income impact,nii_analysis,Executive KPI scorecard,kpi_scorecard
2,loan_portfolio,Loan Portfolio Composition,"How is our loan portfolio distributed? Which loan product is the largest?",Asset quality & NPAs,npa_analysis,Loan growth analysis,loan_growth,Loan yield & pricing,loan_yield
3,npa_analysis,NPA & Asset Quality,"What is our current NPA ratio? How has asset quality trended over the past year?",Loan portfolio breakdown,loan_portfolio,Credit risk segments,credit_risk_segments,Provision coverage,provision_coverage
4,nii_analysis,Net Interest Income Analysis,"What is our net interest income? How is the net interest margin trending?",Deposit portfolio trends,deposit_overview,Fee & commission income,fee_income,Executive KPI scorecard,kpi_scorecard
5,branch_performance,Branch Performance Ranking,"How are our branches performing? Which branches are the top performers?",Digital banking adoption,digital_adoption,Deposit portfolio overview,deposit_overview,Operational efficiency,operational_efficiency
6,digital_adoption,Digital Banking Adoption,"How is digital banking adoption trending? What percentage of transactions are digital now?",Branch performance impact,branch_performance,Customer acquisition channels,customer_acquisition,Operational efficiency gains,operational_efficiency
7,credit_risk_segments,Credit Risk Segmentation,"How is our loan portfolio distributed across credit risk segments? Are there any concentration concerns?",NPA & asset quality,npa_analysis,Provision coverage,provision_coverage,Loan portfolio details,loan_portfolio
8,fee_income,Fee & Commission Income,"What is our non-interest income? How is fee income distributed across business lines?",Net interest income,nii_analysis,Wealth management AUM,wealth_management,KPI variance analysis,kpi_vs_target
9,customer_acquisition,Customer Acquisition Trends,"How many new customers are we acquiring? What channels are driving growth?",Customer segmentation,customer_segments,Digital adoption trends,digital_adoption,Customer attrition,customer_attrition
10,customer_segments,Customer Segmentation,"How is our customer base segmented? Which segment contributes the most to revenue?",New customer trends,customer_acquisition,Wealth management AUM,wealth_management,Deposit portfolio,deposit_overview
11,loan_growth,Loan Growth Analysis,"How is loan growth trending? What are our disbursement and repayment patterns?",Loan portfolio mix,loan_portfolio,Asset quality impact,npa_analysis,Loan yield & pricing,loan_yield
12,loan_yield,Loan Yield & Pricing,"What are our loan yields by product? How has pricing trended over the past year?",Net interest income,nii_analysis,Loan portfolio mix,loan_portfolio,Loan growth trends,loan_growth
13,provision_coverage,Provision Coverage Analysis,"What is our provision coverage ratio? Are we adequately provisioned against NPAs?",NPA & asset quality,npa_analysis,Credit risk segments,credit_risk_segments,Executive KPI scorecard,kpi_scorecard
14,wealth_management,Wealth Management AUM,"What is our AUM? How are wealth management assets trending?",Fee income breakdown,fee_income,Customer segmentation,customer_segments,KPI variance analysis,kpi_vs_target
15,operational_efficiency,Operational Efficiency,"How is our operational efficiency trending? What is the cost-to-income ratio?",Branch performance,branch_performance,Digital adoption,digital_adoption,KPI variance analysis,kpi_vs_target
16,treasury_operations,Treasury & Investment Portfolio,"What is our investment portfolio composition? How is the treasury book structured?",Net interest income,nii_analysis,Liquidity coverage,liquidity_analysis,Executive KPI scorecard,kpi_scorecard
17,liquidity_analysis,Liquidity Coverage Analysis,"What are our liquidity ratios? Are we meeting regulatory requirements?",Treasury portfolio,treasury_operations,Deposit portfolio,deposit_overview,Regulatory compliance,regulatory_compliance
18,regulatory_compliance,Regulatory Compliance Dashboard,"Are we meeting all regulatory capital requirements? What are our key regulatory ratios?",Liquidity coverage,liquidity_analysis,Provision coverage,provision_coverage,Executive KPI scorecard,kpi_scorecard
19,kpi_scorecard,Executive KPI Scorecard,"Give me the executive KPI scorecard. How are we performing against targets?",Net interest income detail,nii_analysis,Deposit portfolio,deposit_overview,KPI variance analysis,kpi_vs_target
20,kpi_vs_target,KPI Variance Analysis,"Show me a detailed variance analysis. Where are we ahead and behind our targets?",KPI scorecard overview,kpi_scorecard,Net interest income,nii_analysis,Operational efficiency,operational_efficiency
21,customer_attrition,Customer Attrition Analysis,"What is our customer attrition rate? What are the main reasons customers are leaving?",Customer segments,customer_segments,Customer acquisition,customer_acquisition,Digital adoption,digital_adoption
